fundingTime,symbol,fundingRate,markPrice
2023-02-03 08:00:00,MINAUSDT,0.0001,
2023-02-03 16:00:00,MINAUSDT,0.0001,
2023-02-04 00:00:00,MINAUSDT,0.0001,
2023-02-04 08:00:00,MINAUSDT,0.0001,
2023-02-04 16:00:00,MINAUSDT,0.0001,
2023-02-05 00:00:00,MINAUSDT,0.0001,
2023-02-05 08:00:00,MINAUSDT,0.0001,
2023-02-05 16:00:00,MINAUSDT,0.0001,
2023-02-06 00:00:00,MINAUSDT,0.0001,
2023-02-06 08:00:00,MINAUSDT,0.00227773,
2023-02-06 16:00:00,MINAUSDT,0.0001,
2023-02-07 00:00:00,MINAUSDT,0.0001,
2023-02-07 08:00:00,MINAUSDT,0.0001,
2023-02-07 16:00:00,MINAUSDT,0.00032636,
2023-02-08 00:00:00,MINAUSDT,0.00068607,
2023-02-08 08:00:00,MINAUSDT,0.00031862,
2023-02-08 16:00:00,MINAUSDT,0.00014478,
2023-02-09 00:00:00,MINAUSDT,0.00016015,
2023-02-09 08:00:00,MINAUSDT,0.0001,
2023-02-09 16:00:00,MINAUSDT,0.0001,
2023-02-10 00:00:00,MINAUSDT,0.0001,
2023-02-10 08:00:00,MINAUSDT,0.0001,
2023-02-10 16:00:00,MINAUSDT,0.0001969,
2023-02-11 00:00:00,MINAUSDT,0.0001,
2023-02-11 08:00:00,MINAUSDT,0.0001,
2023-02-11 16:00:00,MINAUSDT,0.0001,
2023-02-12 00:00:00,MINAUSDT,0.0001,
2023-02-12 08:00:00,MINAUSDT,0.0001,
2023-02-12 16:00:00,MINAUSDT,0.0001,
2023-02-13 00:00:00,MINAUSDT,0.0001,
2023-02-13 08:00:00,MINAUSDT,0.00012749,
2023-02-13 16:00:00,MINAUSDT,0.0001,
2023-02-14 00:00:00,MINAUSDT,0.0001,
2023-02-14 08:00:00,MINAUSDT,0.0001,
2023-02-14 16:00:00,MINAUSDT,0.0001,
2023-02-15 00:00:00,MINAUSDT,0.0001,
2023-02-15 08:00:00,MINAUSDT,0.0001,
2023-02-15 16:00:00,MINAUSDT,0.0001,
2023-02-16 00:00:00,MINAUSDT,0.0001,
2023-02-16 08:00:00,MINAUSDT,0.00041622,
2023-02-16 16:00:00,MINAUSDT,0.0003518,
2023-02-17 00:00:00,MINAUSDT,0.0001,
2023-02-17 08:00:00,MINAUSDT,0.0001,
2023-02-17 16:00:00,MINAUSDT,0.0001,
2023-02-18 00:00:00,MINAUSDT,0.0001,
2023-02-18 08:00:00,MINAUSDT,0.0001,
2023-02-18 16:00:00,MINAUSDT,0.0001,
2023-02-19 00:00:00,MINAUSDT,0.0001,
2023-02-19 08:00:00,MINAUSDT,0.0001,
2023-02-19 16:00:00,MINAUSDT,0.00010463,
2023-02-20 00:00:00,MINAUSDT,0.0001,
2023-02-20 08:00:00,MINAUSDT,0.0001,
2023-02-20 16:00:00,MINAUSDT,0.0001,
2023-02-21 00:00:00,MINAUSDT,0.0001,
2023-02-21 08:00:00,MINAUSDT,0.00034792,
2023-02-21 16:00:00,MINAUSDT,0.0001,
2023-02-22 00:00:00,MINAUSDT,0.00013024,
2023-02-22 08:00:00,MINAUSDT,0.00021536,
2023-02-22 16:00:00,MINAUSDT,0.0001,
2023-02-23 00:00:00,MINAUSDT,0.0001,
2023-02-23 08:00:00,MINAUSDT,0.0001,
2023-02-23 16:00:00,MINAUSDT,0.0001,
2023-02-24 00:00:00,MINAUSDT,0.0001,
2023-02-24 08:00:00,MINAUSDT,0.0001,
2023-02-24 16:00:00,MINAUSDT,0.0001,
2023-02-25 00:00:00,MINAUSDT,0.0001,
2023-02-25 08:00:00,MINAUSDT,0.0001,
2023-02-25 16:00:00,MINAUSDT,0.0001,
2023-02-26 00:00:00,MINAUSDT,0.0001,
2023-02-26 08:00:00,MINAUSDT,0.0001,
2023-02-26 16:00:00,MINAUSDT,0.0001,
2023-02-27 00:00:00,MINAUSDT,0.0001,
2023-02-27 08:00:00,MINAUSDT,0.0001,
2023-02-27 16:00:00,MINAUSDT,0.0001,
2023-02-28 00:00:00,MINAUSDT,0.0001,
2023-02-28 08:00:00,MINAUSDT,0.0001,
2023-02-28 16:00:00,MINAUSDT,0.0001,
2023-03-01 00:00:00,MINAUSDT,0.0001,
2023-03-01 08:00:00,MINAUSDT,0.0001,
2023-03-01 16:00:00,MINAUSDT,0.0001,
2023-03-02 00:00:00,MINAUSDT,0.0001,
2023-03-02 08:00:00,MINAUSDT,0.0001,
2023-03-02 16:00:00,MINAUSDT,0.0001,
2023-03-03 00:00:00,MINAUSDT,0.0001,
2023-03-03 08:00:00,MINAUSDT,0.0001,
2023-03-03 16:00:00,MINAUSDT,0.0001,
2023-03-04 00:00:00,MINAUSDT,0.0001,
2023-03-04 08:00:00,MINAUSDT,0.0001,
2023-03-04 16:00:00,MINAUSDT,0.0001,
2023-03-05 00:00:00,MINAUSDT,9.35e-05,
2023-03-05 08:00:00,MINAUSDT,0.0001,
2023-03-05 16:00:00,MINAUSDT,0.0001,
2023-03-06 00:00:00,MINAUSDT,9.936e-05,
2023-03-06 08:00:00,MINAUSDT,0.0001,
2023-03-06 16:00:00,MINAUSDT,0.0001,
2023-03-07 00:00:00,MINAUSDT,0.0001,
2023-03-07 08:00:00,MINAUSDT,0.0001,
2023-03-07 16:00:00,MINAUSDT,0.0001,
2023-03-08 00:00:00,MINAUSDT,0.0001,
2023-03-08 08:00:00,MINAUSDT,-3.166e-05,
2023-03-08 16:00:00,MINAUSDT,-1.285e-05,
2023-03-09 00:00:00,MINAUSDT,9.063e-05,
2023-03-09 08:00:00,MINAUSDT,0.0001,
2023-03-09 16:00:00,MINAUSDT,5.916e-05,
2023-03-10 00:00:00,MINAUSDT,5e-08,
2023-03-10 08:00:00,MINAUSDT,5.88e-06,
2023-03-10 16:00:00,MINAUSDT,8.293e-05,
2023-03-11 00:00:00,MINAUSDT,7.821e-05,
2023-03-11 08:00:00,MINAUSDT,0.0001,
2023-03-11 16:00:00,MINAUSDT,8.56e-05,
2023-03-12 00:00:00,MINAUSDT,-1.959e-05,
2023-03-12 08:00:00,MINAUSDT,8.521e-05,
2023-03-12 16:00:00,MINAUSDT,-0.00019219,
2023-03-13 00:00:00,MINAUSDT,-0.00011356,
2023-03-13 08:00:00,MINAUSDT,0.0001,
2023-03-13 16:00:00,MINAUSDT,0.0001,
2023-03-14 00:00:00,MINAUSDT,0.0001,
2023-03-14 08:00:00,MINAUSDT,0.0001,
2023-03-14 16:00:00,MINAUSDT,0.0001,
2023-03-15 00:00:00,MINAUSDT,0.0001,
2023-03-15 08:00:00,MINAUSDT,0.0001,
2023-03-15 16:00:00,MINAUSDT,0.0001,
2023-03-16 00:00:00,MINAUSDT,0.0001,
2023-03-16 08:00:00,MINAUSDT,4.672e-05,
2023-03-16 16:00:00,MINAUSDT,0.0001,
2023-03-17 00:00:00,MINAUSDT,7.338e-05,
2023-03-17 08:00:00,MINAUSDT,0.0001,
2023-03-17 16:00:00,MINAUSDT,6.086e-05,
2023-03-18 00:00:00,MINAUSDT,0.0001,
2023-03-18 08:00:00,MINAUSDT,0.0001,
2023-03-18 16:00:00,MINAUSDT,0.0001,
2023-03-19 00:00:00,MINAUSDT,0.0001,
2023-03-19 08:00:00,MINAUSDT,0.0001,
2023-03-19 16:00:00,MINAUSDT,0.0001,
2023-03-20 00:00:00,MINAUSDT,0.0001,
2023-03-20 08:00:00,MINAUSDT,5.39e-05,
2023-03-20 16:00:00,MINAUSDT,0.0001,
2023-03-21 00:00:00,MINAUSDT,0.0001,
2023-03-21 08:00:00,MINAUSDT,0.0001,
2023-03-21 16:00:00,MINAUSDT,0.0001,
2023-03-22 00:00:00,MINAUSDT,0.0001,
2023-03-22 08:00:00,MINAUSDT,0.0001,
2023-03-22 16:00:00,MINAUSDT,0.0001,
2023-03-23 00:00:00,MINAUSDT,0.0001,
2023-03-23 08:00:00,MINAUSDT,0.0001,
2023-03-23 16:00:00,MINAUSDT,0.0001,
2023-03-24 00:00:00,MINAUSDT,0.0001,
2023-03-24 08:00:00,MINAUSDT,0.0001,
2023-03-24 16:00:00,MINAUSDT,0.0001,
2023-03-25 00:00:00,MINAUSDT,0.0001,
2023-03-25 08:00:00,MINAUSDT,0.0001,
2023-03-25 16:00:00,MINAUSDT,0.0001,
2023-03-26 00:00:00,MINAUSDT,0.0001,
2023-03-26 08:00:00,MINAUSDT,0.0001,
2023-03-26 16:00:00,MINAUSDT,0.0001,
2023-03-27 00:00:00,MINAUSDT,0.0001,
2023-03-27 08:00:00,MINAUSDT,0.0001,
2023-03-27 16:00:00,MINAUSDT,0.0001,
2023-03-28 00:00:00,MINAUSDT,-0.00024373,
2023-03-28 08:00:00,MINAUSDT,6.109e-05,
2023-03-28 16:00:00,MINAUSDT,-0.00010501,
2023-03-29 00:00:00,MINAUSDT,0.0001,
2023-03-29 08:00:00,MINAUSDT,-0.00011027,
2023-03-29 16:00:00,MINAUSDT,6.747e-05,
2023-03-30 00:00:00,MINAUSDT,0.0001,
2023-03-30 08:00:00,MINAUSDT,0.0001,
2023-03-30 16:00:00,MINAUSDT,0.0001,
2023-03-31 00:00:00,MINAUSDT,0.0001,
2023-03-31 08:00:00,MINAUSDT,0.0001,
2023-03-31 16:00:00,MINAUSDT,0.0001,
2023-04-01 00:00:00,MINAUSDT,0.0001,
2023-04-01 08:00:00,MINAUSDT,0.0001,
2023-04-01 16:00:00,MINAUSDT,0.0001,
2023-04-02 00:00:00,MINAUSDT,0.0001,
2023-04-02 08:00:00,MINAUSDT,0.0001,
2023-04-02 16:00:00,MINAUSDT,0.0001,
2023-04-03 00:00:00,MINAUSDT,0.0001,
2023-04-03 08:00:00,MINAUSDT,0.0001,
2023-04-03 16:00:00,MINAUSDT,0.0001,
2023-04-04 00:00:00,MINAUSDT,0.0001,
2023-04-04 08:00:00,MINAUSDT,0.0001,
2023-04-04 16:00:00,MINAUSDT,0.0001,
2023-04-05 00:00:00,MINAUSDT,0.0001,
2023-04-05 08:00:00,MINAUSDT,0.0001,
2023-04-05 16:00:00,MINAUSDT,0.0001,
