,AMD,NVDA,2330,AAPL,3324
2020-01-02 00:00:00,49.1,239.91,339.0,300.35,218.0
2020-01-03 00:00:00,48.6,236.07,339.5,297.43,206.5
2020-01-06 00:00:00,48.39,237.06,332.0,299.8,199.0
2020-01-07 00:00:00,48.25,239.93,329.5,298.39,189.5
2020-01-08 00:00:00,47.83,240.38,329.5,303.19,189.5
2020-01-09 00:00:00,48.97,243.02,337.5,309.63,191.0
2020-01-10 00:00:00,48.17,244.32,339.5,310.33,186.5
2020-01-13 00:00:00,48.75,251.98,341.5,316.96,190.0
2020-01-14 00:00:00,48.21,247.28,346.0,312.68,193.5
2020-01-15 00:00:00,48.55,245.57,340.0,311.34,190.0
2020-01-16 00:00:00,49.77,248.93,334.5,315.24,188.5
2020-01-17 00:00:00,50.93,249.28,333.0,318.73,187.5
2020-01-21 00:00:00,51.05,247.94,,316.57,
2020-01-22 00:00:00,51.43,250.11,,317.7,
2020-01-23 00:00:00,51.71,252.86,,319.23,
2020-01-24 00:00:00,50.35,250.48,,318.31,
2020-01-27 00:00:00,49.26,240.2,,308.95,
2020-01-28 00:00:00,50.53,247.97,,317.69,
2020-01-29 00:00:00,47.51,245.54,,324.34,
2020-01-30 00:00:00,48.78,245.81,316.5,323.87,167.5
2020-01-31 00:00:00,47.0,236.43,320.0,309.51,164.0
2020-02-03 00:00:00,48.02,240.33,315.0,308.66,159.5
2020-02-04 00:00:00,49.45,247.13,325.0,318.85,165.5
2020-02-05 00:00:00,49.84,250.76,327.5,321.45,157.0
2020-02-06 00:00:00,49.32,254.25,332.5,325.21,171.0
2020-02-07 00:00:00,49.73,251.59,328.0,320.03,162.0
2020-02-10 00:00:00,52.26,262.97,327.5,321.55,158.0
2020-02-11 00:00:00,53.8,267.89,331.5,319.61,163.0
2020-02-12 00:00:00,53.89,272.54,335.0,327.2,167.0
2020-02-13 00:00:00,54.53,270.78,335.0,324.87,170.0
2020-02-14 00:00:00,55.31,289.79,335.0,324.95,171.0
2020-02-18 00:00:00,56.89,296.57,322.0,319.0,167.0
2020-02-19 00:00:00,58.9,314.7,326.5,323.62,168.0
2020-02-20 00:00:00,57.27,308.7,325.5,320.3,168.5
2020-02-21 00:00:00,53.28,294.07,325.0,313.05,166.0
2020-02-24 00:00:00,49.12,273.28,320.0,298.18,163.0
2020-02-25 00:00:00,47.57,262.05,322.0,288.08,166.0
2020-02-26 00:00:00,47.49,267.65,318.5,292.65,170.0
2020-02-27 00:00:00,44.01,252.6,316.0,273.52,161.0
2020-02-28 00:00:00,45.48,270.07,,273.36,
2020-03-02 00:00:00,47.46,276.43,311.0,298.81,163.5
2020-03-03 00:00:00,46.75,265.89,317.5,289.32,163.0
2020-03-04 00:00:00,50.11,284.51,320.5,302.74,162.5
2020-03-05 00:00:00,48.11,273.29,323.0,292.92,165.0
2020-03-06 00:00:00,48.59,266.04,315.0,289.03,167.0
2020-03-09 00:00:00,43.27,245.44,305.5,266.17,158.0
2020-03-10 00:00:00,45.38,261.08,307.0,285.34,165.0
2020-03-11 00:00:00,45.7,246.47,302.0,275.43,155.5
2020-03-12 00:00:00,39.01,216.31,294.0,248.23,140.0
2020-03-13 00:00:00,43.9,240.84,290.0,277.97,128.5
2020-03-16 00:00:00,38.71,196.4,276.5,242.21,116.0
2020-03-17 00:00:00,41.88,217.27,268.0,252.86,106.0
2020-03-18 00:00:00,39.12,202.82,260.0,246.67,111.5
2020-03-19 00:00:00,39.82,212.97,248.0,244.78,107.5
2020-03-20 00:00:00,39.61,205.75,270.0,229.24,116.0
2020-03-23 00:00:00,41.64,212.69,255.0,224.37,109.0
2020-03-24 00:00:00,46.22,249.18,267.5,246.88,117.0
2020-03-25 00:00:00,44.63,245.62,277.0,245.52,119.5
2020-03-26 00:00:00,47.5,257.24,280.0,258.44,127.0
2020-03-27 00:00:00,46.58,252.73,273.0,247.74,123.0
2020-03-30 00:00:00,47.86,265.59,267.5,254.81,127.0
2020-03-31 00:00:00,45.48,263.6,274.0,254.29,127.5
2020-04-01 00:00:00,43.66,243.07,271.5,240.91,129.0
2020-04-02 00:00:00,44.49,255.47,,244.93,
2020-04-03 00:00:00,42.59,243.91,,241.41,
2020-04-06 00:00:00,47.52,268.4,275.5,262.47,137.0
2020-04-07 00:00:00,47.56,259.03,283.0,259.43,143.5
2020-04-08 00:00:00,48.79,266.95,285.0,266.07,144.0
2020-04-09 00:00:00,48.38,262.95,283.0,267.99,141.0
2020-04-13 00:00:00,50.94,269.85,278.5,273.25,146.0
2020-04-14 00:00:00,54.93,283.95,285.0,287.05,149.0
2020-04-15 00:00:00,54.99,280.84,287.5,284.43,148.0
2020-04-16 00:00:00,56.95,294.7,286.5,286.69,149.5
2020-04-17 00:00:00,56.6,292.32,306.5,282.8,147.0
2020-04-20 00:00:00,56.97,287.05,304.0,276.93,159.0
2020-04-21 00:00:00,52.92,269.51,295.0,268.37,157.0
2020-04-22 00:00:00,55.92,286.15,294.0,276.1,164.5
2020-04-23 00:00:00,55.9,284.01,295.5,275.03,165.5
2020-04-24 00:00:00,56.18,289.59,294.0,282.97,163.0
2020-04-27 00:00:00,56.49,297.08,298.0,283.17,166.0
2020-04-28 00:00:00,55.51,291.36,296.5,278.58,170.5
2020-04-29 00:00:00,53.66,298.46,299.0,287.73,173.5
2020-04-30 00:00:00,52.39,292.28,304.5,293.8,174.0
2020-05-01 00:00:00,49.88,282.78,,289.07,
2020-05-04 00:00:00,52.56,291.29,295.0,293.16,171.5
2020-05-05 00:00:00,52.19,293.74,295.5,297.56,170.0
2020-05-06 00:00:00,52.16,297.79,296.0,300.63,166.0
2020-05-07 00:00:00,51.95,304.87,297.5,303.74,173.0
2020-05-08 00:00:00,53.19,312.5,297.5,310.13,169.0
2020-05-11 00:00:00,55.74,322.62,301.0,315.01,170.0
2020-05-12 00:00:00,53.76,312.1,295.0,311.41,168.5
2020-05-13 00:00:00,52.18,311.2,297.0,307.65,168.0
2020-05-14 00:00:00,54.51,321.22,293.0,309.54,161.5
2020-05-15 00:00:00,54.2,339.63,298.0,307.71,161.5
2020-05-18 00:00:00,54.59,350.01,290.0,314.96,162.5
2020-05-19 00:00:00,55.47,352.22,291.5,313.14,165.5
2020-05-20 00:00:00,56.39,358.8,294.0,319.23,163.5
2020-05-21 00:00:00,54.65,351.01,297.5,316.85,164.5
2020-05-22 00:00:00,55.17,361.05,292.0,318.89,160.0
2020-05-26 00:00:00,53.19,348.71,295.5,316.73,163.0
2020-05-27 00:00:00,52.74,341.01,296.5,318.11,163.0
2020-05-28 00:00:00,51.74,339.48,294.0,318.25,163.5
2020-05-29 00:00:00,53.8,355.02,292.0,317.94,169.5
2020-06-01 00:00:00,53.63,352.25,295.5,321.85,170.0
2020-06-02 00:00:00,53.54,353.01,296.5,323.34,171.0
2020-06-03 00:00:00,52.73,350.78,301.0,325.12,175.0
2020-06-04 00:00:00,52.63,350.66,306.0,322.32,177.5
2020-06-05 00:00:00,53.1,356.8,311.5,331.5,176.5
2020-06-08 00:00:00,52.97,352.2,318.0,333.46,176.5
2020-06-09 00:00:00,56.39,361.84,319.0,343.99,169.5
2020-06-10 00:00:00,57.44,374.67,322.5,352.84,168.5
2020-06-11 00:00:00,52.83,351.85,320.5,335.9,163.5
2020-06-12 00:00:00,53.5,357.3,316.0,338.8,167.0
2020-06-15 00:00:00,54.68,366.95,309.5,342.99,163.0
2020-06-16 00:00:00,54.46,362.74,315.0,352.08,171.0
