,sector,pair,performance
0,Ethereum Ecosystem,"('ETHUSDT', 'STETHUSDT')","{'totalReturn': np.float64(43722.53194447981), 'totalProfitfee': np.float64(43722.53194447981), 'AnnualizedReturn': np.float64(262695.04789687454), 'Win Rate': 0.2674897119341564, 'SharpeRatio': np.float64(0.2757627208102134), 'SortinoRatio': np.float64(0.3502085949928919), 'ProfitFactor': np.float64(5.834891387517817), 'MaxDrawdown': np.float64(-0.0)}"
1,Ethereum Ecosystem,"('ETHUSDT', 'STETHUSDT')","{'totalReturn': np.float64(33500.3274965201), 'totalProfitfee': np.float64(33500.3274965201), 'AnnualizedReturn': np.float64(201277.68783917424), 'Win Rate': 0.24279835390946503, 'SharpeRatio': np.float64(0.2845367829753038), 'SortinoRatio': np.float64(0.37350528143949646), 'ProfitFactor': np.float64(5.902854205830506), 'MaxDrawdown': np.float64(-0.0)}"
2,Ethereum Ecosystem,"('ETHUSDT', 'STETHUSDT')","{'totalReturn': np.float64(21591.60648979315), 'totalProfitfee': np.float64(21591.60648979315), 'AnnualizedReturn': np.float64(129727.34763414814), 'Win Rate': 0.21467764060356653, 'SharpeRatio': np.float64(0.26088483004452917), 'SortinoRatio': np.float64(0.3001175965053835), 'ProfitFactor': np.float64(4.327388669533715), 'MaxDrawdown': np.float64(-0.0)}"
3,Ethereum Ecosystem,"('ETHUSDT', 'STETHUSDT')","{'totalReturn': np.float64(21282.205943515146), 'totalProfitfee': np.float64(21282.205943515146), 'AnnualizedReturn': np.float64(127868.39784992638), 'Win Rate': 0.13168724279835392, 'SharpeRatio': np.float64(0.16987211218341733), 'SortinoRatio': np.float64(0.15184306120309904), 'ProfitFactor': np.float64(4.789932594422654), 'MaxDrawdown': np.float64(-0.0)}"
4,Wormhole Assets,"('LDOUSDT', 'USDCUSDT')","{'totalReturn': np.float64(13369.527947002232), 'totalProfitfee': np.float64(13369.527947002232), 'AnnualizedReturn': np.float64(80327.2049490669), 'Win Rate': 0.13031550068587106, 'SharpeRatio': np.float64(0.06879277300445545), 'SortinoRatio': np.float64(0.06235617901615233), 'ProfitFactor': np.float64(1.5799364875595145), 'MaxDrawdown': np.float64(-0.0)}"
5,Ethereum Ecosystem,"('LDOUSDT', 'USDCUSDT')","{'totalReturn': np.float64(13369.527947002232), 'totalProfitfee': np.float64(13369.527947002232), 'AnnualizedReturn': np.float64(80327.2049490669), 'Win Rate': 0.13031550068587106, 'SharpeRatio': np.float64(0.06879277300445545), 'SortinoRatio': np.float64(0.06235617901615233), 'ProfitFactor': np.float64(1.5799364875595145), 'MaxDrawdown': np.float64(-0.0)}"
6,Polygon Ecosystem,"('LDOUSDT', 'USDCUSDT')","{'totalReturn': np.float64(13369.527947002232), 'totalProfitfee': np.float64(13369.527947002232), 'AnnualizedReturn': np.float64(80327.2049490669), 'Win Rate': 0.13031550068587106, 'SharpeRatio': np.float64(0.06879277300445545), 'SortinoRatio': np.float64(0.06235617901615233), 'ProfitFactor': np.float64(1.5799364875595145), 'MaxDrawdown': np.float64(-0.0)}"
7,Arbitrum Ecosystem,"('LDOUSDT', 'USDCUSDT')","{'totalReturn': np.float64(13369.527947002232), 'totalProfitfee': np.float64(13369.527947002232), 'AnnualizedReturn': np.float64(80327.2049490669), 'Win Rate': 0.13031550068587106, 'SharpeRatio': np.float64(0.06879277300445545), 'SortinoRatio': np.float64(0.06235617901615233), 'ProfitFactor': np.float64(1.5799364875595145), 'MaxDrawdown': np.float64(-0.0)}"
8,Optimism Ecosystem,"('LDOUSDT', 'USDCUSDT')","{'totalReturn': np.float64(13369.527947002232), 'totalProfitfee': np.float64(13369.527947002232), 'AnnualizedReturn': np.float64(80327.2049490669), 'Win Rate': 0.13031550068587106, 'SharpeRatio': np.float64(0.06879277300445545), 'SortinoRatio': np.float64(0.06235617901615233), 'ProfitFactor': np.float64(1.5799364875595145), 'MaxDrawdown': np.float64(-0.0)}"
9,Linea Ecosystem,"('LDOUSDT', 'USDCUSDT')","{'totalReturn': np.float64(13369.527947002232), 'totalProfitfee': np.float64(13369.527947002232), 'AnnualizedReturn': np.float64(80327.2049490669), 'Win Rate': 0.13031550068587106, 'SharpeRatio': np.float64(0.06879277300445545), 'SortinoRatio': np.float64(0.06235617901615233), 'ProfitFactor': np.float64(1.5799364875595145), 'MaxDrawdown': np.float64(-0.0)}"
