Pairs,Size1,Size2,EntryTime,EntryPrice1,EntryPrice2,ExitTime,ExitPrice1,ExitPrice2,HoldingPeriod,Profitfee
XECUSDT - ZILUSDT,138888888.8888889,-96432.01542912248,2022-05-12 11:00:00+08:00,3.3e-05,0.05048,2022-05-12 12:00:00+08:00,3e-05,0.04679,0 days 01:00:00,-78.96247187399584
XECUSDT - ZILUSDT,166666666.66666666,-106860.4402650139,2022-05-12 13:00:00+08:00,2.88e-05,0.04459,2022-05-12 14:00:00+08:00,2.84e-05,0.04323,0 days 01:00:00,59.745714896345476
GRTUSDT - XECUSDT,48216.00771456124,-133618385.88989846,2022-08-28 18:00:00+08:00,0.1035,4.586e-05,2022-08-28 19:00:00+08:00,0.1038,5.752e-05,0 days 01:00:00,-1567.3342242943734
GRTUSDT - XECUSDT,48169.55684007707,-86926286.50904034,2022-08-28 20:00:00+08:00,0.1041,5.093e-05,2022-08-28 21:00:00+08:00,0.1031,5.347e-05,0 days 01:00:00,-288.0181610618473
GRTUSDT - XECUSDT,48496.60523763337,-93510379.65214139,2022-08-28 22:00:00+08:00,0.1034,4.933e-05,2022-08-28 23:00:00+08:00,0.1032,4.9e-05,0 days 01:00:00,1.9448299643894522
GRTUSDT - XECUSDT,48449.61240310078,-102040816.32653062,2022-08-29 00:00:00+08:00,0.104,4.603e-05,2022-08-29 01:00:00+08:00,0.1036,4.786e-05,0 days 01:00:00,-225.753290618573
GRTUSDT - XECUSDT,48262.54826254826,-104471374.84329294,2022-08-29 02:00:00+08:00,0.1036,4.689e-05,2022-08-29 03:00:00+08:00,0.1041,4.707e-05,0 days 01:00:00,-14.51383499492583
GRTUSDT - XECUSDT,48030.73967339097,-106224771.61674102,2022-08-29 04:00:00+08:00,0.1035,4.883e-05,2022-08-29 05:00:00+08:00,0.1035,4.747e-05,0 days 01:00:00,124.29388077968376
GRTUSDT - XECUSDT,48309.178743961354,-105329681.90436065,2022-08-29 06:00:00+08:00,0.1028,4.869e-05,2022-08-29 07:00:00+08:00,0.1016,4.861e-05,0 days 01:00:00,-69.66761412496446
GRTUSDT - XECUSDT,49212.598425196855,-102859493.93128987,2022-08-29 08:00:00+08:00,0.099,4.626e-05,2022-08-29 09:00:00+08:00,0.0992,4.709e-05,0 days 01:00:00,-94.88673104429125
GRTUSDT - XECUSDT,50403.22580645161,-106179655.97791463,2022-08-29 10:00:00+08:00,0.0995,5.189e-05,2022-08-29 11:00:00+08:00,0.1007,5.008e-05,0 days 01:00:00,231.75118296124728
GRTUSDT - XECUSDT,49652.43296921549,-99840255.5910543,2022-08-29 12:00:00+08:00,0.1014,4.988e-05,2022-08-29 13:00:00+08:00,0.1007,4.988e-05,0 days 01:00:00,-54.75152367929318
GRTUSDT - XECUSDT,49652.43296921549,-100240577.38572575,2022-08-29 14:00:00+08:00,0.1001,4.84e-05,2022-08-29 15:00:00+08:00,0.1011,4.677e-05,0 days 01:00:00,193.51460884474247
GRTUSDT - XECUSDT,49455.98417408507,-106906136.41223006,2022-08-29 16:00:00+08:00,0.1016,4.988e-05,2022-08-29 17:00:00+08:00,0.1012,5.161e-05,0 days 01:00:00,-225.6095870377742
GRTUSDT - XECUSDT,49407.11462450593,-96880449.5252858,2022-08-29 18:00:00+08:00,0.1018,4.826e-05,2022-08-29 19:00:00+08:00,0.1016,4.652e-05,0 days 01:00:00,139.45882312846473
GRTUSDT - XECUSDT,49212.598425196855,-107480653.48237316,2022-08-29 20:00:00+08:00,0.1012,4.646e-05,2022-08-29 21:00:00+08:00,0.1027,4.6e-05,0 days 01:00:00,103.28788819980903
GRTUSDT - XECUSDT,48685.49172346641,-108695652.17391305,2022-08-29 22:00:00+08:00,0.1036,4.653e-05,2022-08-29 23:00:00+08:00,0.1039,4.565e-05,0 days 01:00:00,90.13601668007306
GRTUSDT - XECUSDT,48123.19538017324,-109529025.1916758,2022-08-30 00:00:00+08:00,0.1046,4.805e-05,2022-08-30 01:00:00+08:00,0.1049,4.786e-05,0 days 01:00:00,14.660735162190557
GRTUSDT - XECUSDT,47664.442326024786,-104471374.84329294,2022-08-30 02:00:00+08:00,0.1051,4.799e-05,2022-08-30 03:00:00+08:00,0.1044,4.891e-05,0 days 01:00:00,-149.5877513736635
GRTUSDT - XECUSDT,47892.72030651341,-102228583.11183807,2022-08-30 04:00:00+08:00,0.1042,4.787e-05,2022-08-30 05:00:00+08:00,0.1051,4.819e-05,0 days 01:00:00,-9.45372237380232
GRTUSDT - XECUSDT,47573.73929590866,-103755965.96804316,2022-08-30 06:00:00+08:00,0.1054,4.832e-05,2022-08-30 07:00:00+08:00,0.1051,5.038e-05,0 days 01:00:00,-248.26439764577628
GRTUSDT - XECUSDT,47573.73929590866,-99245732.43350536,2022-08-30 08:00:00+08:00,0.1063,4.986e-05,2022-08-30 09:00:00+08:00,0.1059,4.989e-05,0 days 01:00:00,-42.00177698020295
GRTUSDT - XECUSDT,47214.353163361666,-100220485.06714773,2022-08-30 10:00:00+08:00,0.1049,4.868e-05,2022-08-30 11:00:00+08:00,0.1054,4.861e-05,0 days 01:00:00,10.942981073943875
GRTUSDT - XECUSDT,47438.33017077799,-102859493.93128987,2022-08-30 12:00:00+08:00,0.1059,4.826e-05,2022-08-30 13:00:00+08:00,0.1076,4.851e-05,0 days 01:00:00,34.84849108830849
GRTUSDT - XECUSDT,46468.40148698885,-103071531.6429602,2022-08-30 14:00:00+08:00,0.1068,4.852e-05,2022-08-30 15:00:00+08:00,0.1066,4.79e-05,0 days 01:00:00,34.75615536290009
GRTUSDT - XECUSDT,46904.315196998126,-104384133.61169103,2022-08-30 16:00:00+08:00,0.1066,4.768e-05,2022-08-30 17:00:00+08:00,0.1062,4.719e-05,0 days 01:00:00,12.502338361266826
GRTUSDT - XECUSDT,47080.97928436911,-105954651.40919687,2022-08-30 18:00:00+08:00,0.107,4.682e-05,2022-08-30 19:00:00+08:00,0.1063,4.699e-05,0 days 01:00:00,-70.95095496867418
GRTUSDT - XECUSDT,47036.688617121355,-106405618.21664183,2022-08-30 20:00:00+08:00,0.1061,4.791e-05,2022-08-30 21:00:00+08:00,0.1055,4.692e-05,0 days 01:00:00,57.07614077733567
GRTUSDT - XECUSDT,47393.364928909956,-106564364.87638535,2022-08-30 22:00:00+08:00,0.105,4.658e-05,2022-08-30 23:00:00+08:00,0.1022,4.573e-05,0 days 01:00:00,-61.77857339102944
GRTUSDT - XECUSDT,48923.67906066536,-109337415.26350318,2022-08-31 00:00:00+08:00,0.1026,4.655e-05,2022-08-31 01:00:00+08:00,0.1007,4.585e-05,0 days 01:00:00,-36.46776065419323
GRTUSDT - XECUSDT,49652.43296921549,-109051254.08942202,2022-08-31 02:00:00+08:00,0.1018,4.6e-05,2022-08-31 03:00:00+08:00,0.1016,4.629e-05,0 days 01:00:00,-61.71899538562684
GRTUSDT - XECUSDT,49212.598425196855,-108014689.9978397,2022-08-31 04:00:00+08:00,0.1033,4.587e-05,2022-08-31 05:00:00+08:00,0.1037,4.561e-05,0 days 01:00:00,27.700667054498915
GRTUSDT - XECUSDT,48216.00771456124,-109625082.21881166,2022-08-31 06:00:00+08:00,0.1028,4.563e-05,2022-08-31 07:00:00+08:00,0.1042,4.555e-05,0 days 01:00:00,56.29608878426509
GRTUSDT - XECUSDT,47984.644913627635,-109769484.0834248,2022-08-31 08:00:00+08:00,0.1029,4.57e-05,2022-08-31 09:00:00+08:00,0.1046,4.468e-05,0 days 01:00:00,173.66099032722232
ETHUSDT - STETHUSDT,3.9136186100392147,-3.7735849056603774,2022-12-01 04:00:00+08:00,1287.17,1325.9,2022-12-01 05:00:00+08:00,1295.16,1325.9,0 days 01:00:00,11.156765496120602
ETHUSDT - STETHUSDT,3.8605268847092247,-3.771023455765895,2022-12-01 06:00:00+08:00,1296.96,1325.9,2022-12-01 07:00:00+08:00,1298.84,1325.9,0 days 01:00:00,-12.76336514407532
ETHUSDT - STETHUSDT,-3.8495888639093345,3.771023455765895,2022-12-01 08:00:00+08:00,1295.28,1200.0,2022-12-01 09:00:00+08:00,1290.32,1315.93,0 days 01:00:00,436.8275819823418
ETHUSDT - STETHUSDT,3.8750077500155,-3.7995942033390833,2022-12-01 10:00:00+08:00,1285.55,1315.93,2022-12-01 11:00:00+08:00,1286.99,1315.93,0 days 01:00:00,-14.388601277202344
ETHUSDT - STETHUSDT,3.885034071748809,-3.7995942033390833,2022-12-01 12:00:00+08:00,1288.3,1315.93,2022-12-01 13:00:00+08:00,1283.86,1315.93,0 days 01:00:00,-37.242480516554345
ETHUSDT - STETHUSDT,3.8945056314551434,-3.7995942033390833,2022-12-01 14:00:00+08:00,1282.57,1315.93,2022-12-01 15:00:00+08:00,1284.36,1315.93,0 days 01:00:00,-13.025758260246587
ETHUSDT - STETHUSDT,-3.8929895045002962,3.7995942033390833,2022-12-01 16:00:00+08:00,1279.18,1200.0,2022-12-01 21:00:00+08:00,1288.44,1326.93,0 days 05:00:00,426.6363831263686
ETHUSDT - STETHUSDT,3.9094569764259743,-4.076707325027722,2022-12-01 23:00:00+08:00,1280.18,1325.92,2022-12-02 00:00:00+08:00,1272.09,1330.0,0 days 01:00:00,-69.06587110130985
ETHUSDT - STETHUSDT,-3.917604933048132,4.076208799719557,2022-12-02 09:00:00+08:00,1282.31,1226.51,2022-12-02 10:00:00+08:00,1272.47,1244.61,0 days 01:00:00,92.24719199610121
ETHUSDT - STETHUSDT,-3.876570010854396,3.9826357083117605,2022-12-02 22:00:00+08:00,1276.08,1205.11,2022-12-03 00:00:00+08:00,1278.49,1274.8,0 days 02:00:00,248.42780121405968
ETHUSDT - STETHUSDT,-3.911934529863708,3.904023486605295,2022-12-03 02:00:00+08:00,1279.03,1200.21,2022-12-03 03:00:00+08:00,1281.64,1269.23,0 days 01:00:00,239.58762677120393
ETHUSDT - STETHUSDT,-3.8867857059568873,3.9570110321467578,2022-12-03 05:00:00+08:00,1290.49,1200.04,2022-12-03 06:00:00+08:00,1290.16,1280.68,0 days 01:00:00,300.52933897553567
ETHUSDT - STETHUSDT,-3.91932462198114,3.9539757225890635,2022-12-03 17:00:00+08:00,1268.88,1205.0,2022-12-03 18:00:00+08:00,1273.22,1268.51,0 days 01:00:00,214.36361567111405
