Pairs,EntryTime,Size1,EntryPrice1,EntryPrice2,ExitTime,Size2,ExitPrice1,ExitPrice2,HoldingPeriod,Profitfee
EOSUSDT - ZILUSDT,2022-03-02 19:00:00+08:00,-2238.9396381873544,2.2434,0.04378,2022-03-27 08:00:00+08:00,115127.79184895233,2.5117,0.09658,24 days 13:00:00,5451.234185961553
C98USDT - SUSHIUSDT,2022-03-02 19:00:00+08:00,-3229.5569047926624,1.5599,3.515,2022-03-31 10:00:00+08:00,1425.71998859424,1.8413,4.873,28 days 15:00:00,1004.3871232934139
ATOMUSDT - KSMUSDT,2022-03-02 19:00:00+08:00,-163.06297492091446,31.0476,137.9,2022-03-23 13:00:00+08:00,36.63003663003663,27.9118,160.9,20 days 18:00:00,1333.2645691392395
ATOMUSDT - KSMUSDT,2022-03-02 19:00:00+08:00,-163.06297492091446,31.0476,137.9,2022-03-23 13:00:00+08:00,36.63003663003663,27.9118,160.9,20 days 18:00:00,1333.2645691392395
DOTUSDT - ZILUSDT,2022-03-02 19:00:00+08:00,-265.8019244059327,18.94,0.04378,2022-03-27 08:00:00+08:00,115127.79184895233,20.905,0.09658,24 days 13:00:00,5529.696413625152
ATOMUSDT - SUSHIUSDT,2022-03-02 19:00:00+08:00,-163.06297492091446,31.0476,3.515,2022-03-31 08:00:00+08:00,1425.71998859424,29.9114,4.476,28 days 13:00:00,1534.055976827147
CRVUSDT - SPELLUSDT,2022-03-02 19:00:00+08:00,-1910.5846388995033,2.711,0.00464,2022-03-08 08:00:00+08:00,1096491.2280701755,1.98,0.00394,5 days 13:00:00,600.4557498541916
CRVUSDT - SPELLUSDT,2022-03-02 19:00:00+08:00,-1910.5846388995033,2.711,0.00464,2022-03-08 08:00:00+08:00,1096491.2280701755,1.98,0.00394,5 days 13:00:00,600.4557498541916
CRVUSDT - SPELLUSDT,2022-03-02 19:00:00+08:00,-1910.5846388995033,2.711,0.00464,2022-03-08 08:00:00+08:00,1096491.2280701755,1.98,0.00394,5 days 13:00:00,600.4557498541916
CRVUSDT - SPELLUSDT,2022-03-02 19:00:00+08:00,-1910.5846388995033,2.711,0.00464,2022-03-08 08:00:00+08:00,1096491.2280701755,1.98,0.00394,5 days 13:00:00,600.4557498541916
CRVUSDT - SPELLUSDT,2022-03-02 19:00:00+08:00,-1910.5846388995033,2.711,0.00464,2022-03-08 08:00:00+08:00,1096491.2280701755,1.98,0.00394,5 days 13:00:00,600.4557498541916
C98USDT - SUSHIUSDT,2022-03-02 19:00:00+08:00,-3229.5569047926624,1.5599,3.515,2022-03-31 10:00:00+08:00,1425.71998859424,1.8413,4.873,28 days 15:00:00,1004.3871232934139
BICOUSDT - CRVUSDT,2022-03-02 19:00:00+08:00,3885.0038850038854,1.301,2.711,2022-03-03 23:00:00+08:00,-1910.5846388995033,1.542,2.548,1 days 04:00:00,1226.6184017655169
1INCHUSDT - ZILUSDT,2022-03-02 19:00:00+08:00,-3301.8556428712936,1.519,0.04378,2022-03-27 05:00:00+08:00,115127.79184895233,1.6109,0.08312,24 days 10:00:00,4200.742602995657
ATOMUSDT - CAKEUSDT,2022-03-02 19:00:00+08:00,-163.06297492091446,31.0476,6.7403,2022-03-30 05:00:00+08:00,746.2352431980657,30.1711,8.7435,27 days 10:00:00,1616.2460760911254
