Unnamed: 0,Date,Stock_id,Open,High,Low,Close,Volume,TradingAmount,trading_idx,prev_trade_date,trade_date_diff,gap_days,event_start_date,event_end_date,interval,condition,is_first_disposal,is_second_disposal,disposal_level,calendar_relative_day,trading_idx_start,trading_idx_end,relative_day,relative_day_end,t_label_first,t_label_second,t_label_third,t_label_fourth,t_label_level_5,t_label_level_6,t_label_level_7,t_label_level_8,t_label_level_9,t_label_level_10,t_label_level_11,t_label_level_12,t_label_level_13,t_label_level_14,t_label_level_15,t_label_level_16,t_label_level_17,t_label_level_18,t_label_level_19,t_label_level_20,t_label_level_21,t_label_level_22,t_label_level_23,daily_ret,market_open,market_close,market_ret
0,2020-07-20,1213,10.75,10.75,9.43,10.0,503610,5266828,0,,,0.0,2020-07-21,2020-08-03,,連續三次,True,False,1,-1,1.0,,-1,,s-1,,,,,,,,,,,,,,,,,,,,,,,-0.06976744186046513,12205.25,12174.54,-0.0025161303537410973
0,2020-07-20,1213,10.75,10.75,9.43,10.0,503610,5266828,0,,,0.0,2020-07-24,2020-08-06,25.0,連續三次,False,True,2,-4,4.0,,-4,,,s-4,,,,,,,,,,,,,,,,,,,,,,-0.06976744186046513,12205.25,12174.54,-0.0025161303537410973
1,2020-07-21,1213,11.0,11.0,10.25,10.35,182100,1951863,1,2020-07-20,1.0,0.0,2020-07-21,2020-08-03,,連續三次,True,False,1,0,1.0,,0,,s+0,,,,,,,,,,,,,,,,,,,,,,,-0.05909090909090908,12242.32,12397.55,0.012679786184317976
1,2020-07-21,1213,11.0,11.0,10.25,10.35,182100,1951863,1,2020-07-20,1.0,0.0,2020-07-24,2020-08-06,25.0,連續三次,False,True,2,-3,4.0,,-3,,,s-3,,,,,,,,,,,,,,,,,,,,,,-0.05909090909090908,12242.32,12397.55,0.012679786184317976
2,2020-07-22,1213,10.8,10.8,10.2,10.5,195049,2045958,2,2020-07-21,1.0,0.0,2020-07-21,2020-08-03,,連續三次,True,False,1,1,1.0,,1,,s+1,,,,,,,,,,,,,,,,,,,,,,,-0.02777777777777779,12389.76,12473.27,0.006740243555968917
2,2020-07-22,1213,10.8,10.8,10.2,10.5,195049,2045958,2,2020-07-21,1.0,0.0,2020-07-24,2020-08-06,25.0,連續三次,False,True,2,-2,4.0,,-2,,,s-2,,,,,,,,,,,,,,,,,,,,,,-0.02777777777777779,12389.76,12473.27,0.006740243555968917
3,2020-07-23,1213,11.5,11.5,10.3,11.3,198500,2153125,3,2020-07-22,1.0,0.0,2020-07-21,2020-08-03,,連續三次,True,False,1,2,1.0,,2,,s+2,,,,,,,,,,,,,,,,,,,,,,,-0.017391304347825987,12423.02,12413.04,-0.0008033473342230479
3,2020-07-23,1213,11.5,11.5,10.3,11.3,198500,2153125,3,2020-07-22,1.0,0.0,2020-07-24,2020-08-06,25.0,連續三次,False,True,2,-1,4.0,,-1,,,s-1,,,,,,,,,,,,,,,,,,,,,,-0.017391304347825987,12423.02,12413.04,-0.0008033473342230479
4,2020-07-24,1213,11.9,11.9,10.8,11.8,292929,3430709,4,2020-07-23,1.0,0.0,2020-07-21,2020-08-03,,連續三次,True,False,1,3,1.0,,3,,s+3,,,,,,,,,,,,,,,,,,,,,,,-0.008403361344537785,12467.43,12304.04,-0.013105347292906355
4,2020-07-24,1213,11.9,11.9,10.8,11.8,292929,3430709,4,2020-07-23,1.0,0.0,2020-07-24,2020-08-06,25.0,連續三次,False,True,2,0,4.0,,0,,,s+0,,,,,,,,,,,,,,,,,,,,,,-0.008403361344537785,12467.43,12304.04,-0.013105347292906355
