,TodayBalance,YesBalance,buy,date,name,Return,sell
0,7344427,7351632,258768,2020-01-02,MarginPurchase,11577,254396
1,145604286000,145431752000,7918641000,2020-01-02,MarginPurchaseMoney,247482000,7498625000
2,654584,616516,13822,2020-01-02,ShortSale,2090,53980
3,7322773,7344425,328249,2020-01-03,MarginPurchase,6075,343826
4,144617307000,145604279000,9739852000,2020-01-03,MarginPurchaseMoney,126710000,10600114000
5,652415,654584,30217,2020-01-03,ShortSale,7161,35209
6,7338109,7322771,292898,2020-01-06,MarginPurchase,6637,270923
7,690772,652415,31846,2020-01-06,ShortSale,5448,75651
8,145461073000,144617307000,7102628000,2020-01-06,MarginPurchaseMoney,123521000,6135341000
9,691277,690772,45605,2020-01-07,ShortSale,4599,50709
10,7314998,7338107,237691,2020-01-07,MarginPurchase,4273,256527
11,144594678000,145461073000,7306138000,2020-01-07,MarginPurchaseMoney,104695000,8067838000
12,143692800000,144594678000,5675106000,2020-01-08,MarginPurchaseMoney,137662000,6439322000
13,7297808,7314998,268925,2020-01-08,MarginPurchase,6172,279943
14,662743,691277,66730,2020-01-08,ShortSale,4128,42324
15,717290,662743,21830,2020-01-09,ShortSale,4319,80696
16,7299099,7297807,257878,2020-01-09,MarginPurchase,5753,250833
17,143743601000,143692800000,6416545000,2020-01-09,MarginPurchaseMoney,117104000,6248639000
18,755308,717290,22247,2020-01-10,ShortSale,2591,62856
19,142894286000,143743596000,5246584000,2020-01-10,MarginPurchaseMoney,135254000,5960640000
20,7272800,7299096,191563,2020-01-10,MarginPurchase,5981,211878
21,142462752000,142894286000,6351646000,2020-01-13,MarginPurchaseMoney,281975000,6501205000
22,790832,755307,16860,2020-01-13,ShortSale,4386,56771
23,7241277,7272798,226626,2020-01-13,MarginPurchase,9214,248933
24,141942489000,142462752000,6990165000,2020-01-14,MarginPurchaseMoney,197770000,7312658000
25,801211,790832,26574,2020-01-14,ShortSale,1200,38153
26,7205153,7241275,246830,2020-01-14,MarginPurchase,7472,275480
27,142497224000,141942489000,7013114000,2020-01-15,MarginPurchaseMoney,189703000,6268676000
28,808317,801211,21107,2020-01-15,ShortSale,1633,29846
29,7222716,7205153,246444,2020-01-15,MarginPurchase,10005,218876
30,142946160000,142497224000,6175671000,2020-01-16,MarginPurchaseMoney,201889000,5524846000
31,806838,808317,29032,2020-01-16,ShortSale,921,28474
32,7207098,7222710,206664,2020-01-16,MarginPurchase,9144,213132
