買進,日期,種類,賣出
9852550,2020-01-02,Foreign_Dealer_Self,12604610
24829743865,2020-01-02,Foreign_Investor,28259613600
6862489127,2020-01-02,Dealer_Hedging,4486023470
2618174510,2020-01-02,Dealer_self,1222750424
2106517650,2020-01-02,Investment_Trust,2184135251
36416925152,2020-01-02,total,36152522745
37338634528,2020-01-03,Foreign_Investor,37474500665
16017460,2020-01-03,Foreign_Dealer_Self,12140490
2680523110,2020-01-03,Dealer_self,3248549049
49938155689,2020-01-03,total,50896736993
2580233990,2020-01-03,Investment_Trust,2398021095
7338764061,2020-01-03,Dealer_Hedging,7775666184
36167849002,2020-01-06,total,48004632987
1498903950,2020-01-06,Investment_Trust,3284214873
27665025058,2020-01-06,Foreign_Investor,37415934758
5555340584,2020-01-06,Dealer_Hedging,4898502251
1448579410,2020-01-06,Dealer_self,2405981105
9363980,2020-01-06,Foreign_Dealer_Self,8498430
5071030752,2020-01-07,Dealer_Hedging,5785730882
35501524063,2020-01-07,Foreign_Investor,45322407173
1774204130,2020-01-07,Dealer_self,2999579035
43979190565,2020-01-07,total,56959574050
1632431620,2020-01-07,Investment_Trust,2851856960
8880380,2020-01-07,Foreign_Dealer_Self,8676200
1614502960,2020-01-08,Dealer_self,2142466913
1982863010,2020-01-08,Investment_Trust,1583485450
5760084244,2020-01-08,Dealer_Hedging,6055908598
37195502374,2020-01-08,Foreign_Investor,38427888052
8525610,2020-01-08,Foreign_Dealer_Self,7482080
46552952588,2020-01-08,total,48209749013
2045274420,2020-01-09,Dealer_self,1494852931
7918460,2020-01-09,Foreign_Dealer_Self,6884230
2778123730,2020-01-09,Investment_Trust,1307652067
5539909864,2020-01-09,Dealer_Hedging,6047950945
46617341005,2020-01-09,total,39683376945
36254032991,2020-01-09,Foreign_Investor,30832921002
43465005422,2020-01-10,total,38479202327
1793533530,2020-01-10,Dealer_self,1818562950
2008074890,2020-01-10,Investment_Trust,1901312222
4323122482,2020-01-10,Dealer_Hedging,6316685381
7784650,2020-01-10,Foreign_Dealer_Self,5842250
35340274520,2020-01-10,Foreign_Investor,28442641774
6382450,2020-01-13,Foreign_Dealer_Self,9955360
41860454655,2020-01-13,Foreign_Investor,31131616847
51817202806,2020-01-13,total,39446549182
2398848250,2020-01-13,Investment_Trust,1435315338
2053904070,2020-01-13,Dealer_self,1650786672
5503995831,2020-01-13,Dealer_Hedging,5228830325
51911386307,2020-01-14,total,46562756683
2441874980,2020-01-14,Dealer_self,1367213970
5711329198,2020-01-14,Dealer_Hedging,6201594633
41089137679,2020-01-14,Foreign_Investor,36987814398
2669044450,2020-01-14,Investment_Trust,2006133682
10072440,2020-01-14,Foreign_Dealer_Self,10363090
5145387178,2020-01-15,Dealer_Hedging,6446204664
2804973890,2020-01-15,Dealer_self,4733580190
39756679544,2020-01-15,Foreign_Investor,48653601528
1965748640,2020-01-15,Investment_Trust,2083228107
11349180,2020-01-15,Foreign_Dealer_Self,9624350
49672789252,2020-01-15,total,61916614489
2096747670,2020-01-16,Investment_Trust,1802336250
1969223540,2020-01-16,Dealer_self,1808297289
39186282360,2020-01-16,Foreign_Investor,43805035176
47782705137,2020-01-16,total,51405321466
4530451567,2020-01-16,Dealer_Hedging,3989652751
7011400,2020-01-16,Foreign_Dealer_Self,9354820
1511865120,2020-01-17,Dealer_self,1622752366
44927891117,2020-01-17,total,47467795297
10949090,2020-01-17,Foreign_Dealer_Self,6495830
4724213347,2020-01-17,Dealer_Hedging,4766021213
37357131561,2020-01-17,Foreign_Investor,39433720170
1334681089,2020-01-17,Investment_Trust,1645301548
3851943240,2020-01-20,Dealer_Hedging,3530618316
1810250732,2020-01-20,Investment_Trust,2059397508
32771699339,2020-01-20,Foreign_Investor,27292736057
6697260,2020-01-20,Foreign_Dealer_Self,4217900
39991623461,2020-01-20,total,33556448431
1557730150,2020-01-20,Dealer_self,673696550
8596415331,2020-01-30,Dealer_Hedging,12755090354
85807873632,2020-01-30,Foreign_Investor,103909571509
2076350600,2020-01-30,Investment_Trust,4917232229
3351641880,2020-01-30,Dealer_self,5005828740
5329510,2020-01-30,Foreign_Dealer_Self,5935920
99832281443,2020-01-30,total,126587722832
1396729730,2020-01-31,Dealer_self,3846013750
4779680,2020-01-31,Foreign_Dealer_Self,7874330
49250277068,2020-01-31,Foreign_Investor,66445709645
1629011608,2020-01-31,Investment_Trust,2732141608
57512766459,2020-01-31,total,81069660522
5236748053,2020-01-31,Dealer_Hedging,8045795519
51236178099,2020-02-03,Foreign_Investor,50020446752
5325010,2020-02-03,Foreign_Dealer_Self,10283840
63744681354,2020-02-03,total,63413800642
2736464930,2020-02-03,Dealer_self,2320763334
7576773685,2020-02-03,Dealer_Hedging,9402831649
2195264640,2020-02-03,Investment_Trust,1669758907
1905520470,2020-02-04,Dealer_self,2233971017
5711481750,2020-02-04,Dealer_Hedging,8213752327
44000532977,2020-02-04,Foreign_Investor,48030568104
1990637040,2020-02-04,Investment_Trust,1874166723
12244290,2020-02-04,Foreign_Dealer_Self,16662120
53608172237,2020-02-04,total,60352458171
5451540233,2020-02-05,Dealer_Hedging,7977757460
52140382283,2020-02-05,total,57023590411
1198474080,2020-02-05,Dealer_self,2936601240
43732492950,2020-02-05,Foreign_Investor,44271372621
1757875020,2020-02-05,Investment_Trust,1837859090
14506500,2020-02-05,Foreign_Dealer_Self,9890040
6691384292,2020-02-06,Dealer_Hedging,7205884428
1747775460,2020-02-06,Dealer_self,1224038791
38419061414,2020-02-06,Foreign_Investor,33210148487
11934230,2020-02-06,Foreign_Dealer_Self,10262570
48569372368,2020-02-06,total,44103808068
1711151202,2020-02-06,Investment_Trust,2463736362
8563980,2020-02-07,Foreign_Dealer_Self,6631800
37030600303,2020-02-07,total,50523077738
1239040350,2020-02-07,Dealer_self,1433687020
31087949878,2020-02-07,Foreign_Investor,39879039082
