,sector,pair,performance
0,Solana Ecosystem,"('BATUSDT', 'SUSHIUSDT')","{'totalReturn': np.float64(1247.3034931621153), 'totalProfitfee': np.float64(1206.233577219348), 'AnnualizedReturn': np.float64(7247.329311688264), 'Win Rate': 0.443758573388203, 'SharpeRatio': np.float64(0.025982698244825346), 'SortinoRatio': np.float64(0.038590252340213675), 'ProfitFactor': np.float64(1.0876027206799734), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-2.8993697285403583e-07)}"
1,Polygon Ecosystem,"('BATUSDT', 'SUSHIUSDT')","{'totalReturn': np.float64(1247.3034931621153), 'totalProfitfee': np.float64(1206.233577219348), 'AnnualizedReturn': np.float64(7247.329311688264), 'Win Rate': 0.443758573388203, 'SharpeRatio': np.float64(0.025982698244825346), 'SortinoRatio': np.float64(0.038590252340213675), 'ProfitFactor': np.float64(1.0876027206799734), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-2.8993697285403583e-07)}"
2,Avalanche Ecosystem,"('BATUSDT', 'SUSHIUSDT')","{'totalReturn': np.float64(1247.3034931621153), 'totalProfitfee': np.float64(1206.233577219348), 'AnnualizedReturn': np.float64(7247.329311688264), 'Win Rate': 0.443758573388203, 'SharpeRatio': np.float64(0.025982698244825346), 'SortinoRatio': np.float64(0.038590252340213675), 'ProfitFactor': np.float64(1.0876027206799734), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-2.8993697285403583e-07)}"
3,Harmony Ecosystem,"('BATUSDT', 'SUSHIUSDT')","{'totalReturn': np.float64(1247.3034931621153), 'totalProfitfee': np.float64(1206.233577219348), 'AnnualizedReturn': np.float64(7247.329311688264), 'Win Rate': 0.443758573388203, 'SharpeRatio': np.float64(0.025982698244825346), 'SortinoRatio': np.float64(0.038590252340213675), 'ProfitFactor': np.float64(1.0876027206799734), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-2.8993697285403583e-07)}"
4,Energi Ecosystem,"('BATUSDT', 'SUSHIUSDT')","{'totalReturn': np.float64(1247.3034931621153), 'totalProfitfee': np.float64(1206.233577219348), 'AnnualizedReturn': np.float64(7247.329311688264), 'Win Rate': 0.443758573388203, 'SharpeRatio': np.float64(0.025982698244825346), 'SortinoRatio': np.float64(0.038590252340213675), 'ProfitFactor': np.float64(1.0876027206799734), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-2.8993697285403583e-07)}"
5,Near Protocol Ecosystem,"('BATUSDT', 'SUSHIUSDT')","{'totalReturn': np.float64(1247.3034931621153), 'totalProfitfee': np.float64(1206.233577219348), 'AnnualizedReturn': np.float64(7247.329311688264), 'Win Rate': 0.443758573388203, 'SharpeRatio': np.float64(0.025982698244825346), 'SortinoRatio': np.float64(0.038590252340213675), 'ProfitFactor': np.float64(1.0876027206799734), 'MaxDrawdown': np.float64(-0.0), 'Coin_p_value': np.float64(-2.8993697285403583e-07)}"
6,Sports,"('AFCUSDT', 'CITYUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-2.687658628216308e-05)}"
7,Fan Token,"('AFCUSDT', 'CITYUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-2.687658628216308e-05)}"
8,Chiliz Ecosystem,"('AFCUSDT', 'CITYUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-2.687658628216308e-05)}"
9,Wormhole Assets,"('AVAXUSDT', 'MANAUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-7.205459165593339e-05)}"
10,Layer 2 (L2),"('BOBAUSDT', 'IMXUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-9.8060161317843e-05)}"
11,Rollup,"('BOBAUSDT', 'IMXUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-9.8060161317843e-05)}"
12,Made in USA,"('RVNUSDT', 'UMAUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.00023007477977799788)}"
13,Decentralized Exchange (DEX),"('PERPUSDT', 'SISUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.0003158185942300425)}"
14,Binance-Peg Tokens,"('SHIBUSDT', 'XTZUSDT')","{'totalReturn': np.float64(0.0), 'totalProfitfee': np.float64(0.0), 'AnnualizedReturn': np.float64(0.0), 'Win Rate': 0.0, 'SharpeRatio': nan, 'SortinoRatio': np.float64(nan), 'ProfitFactor': inf, 'MaxDrawdown': np.float64(nan), 'Coin_p_value': np.float64(-0.00034620130502576786)}"
