Date,Stock_id,Open,High,Low,Close,Volume,t_label_first,condition_first,interval_first,event_start_date_first,event_end_date_first,relative_day_first,gap_days_first,calendar_relative_day_first,t_label_second,condition_second,interval_second,event_start_date_second,event_end_date_second,relative_day_second,gap_days_second,calendar_relative_day_second,daily_ret
2020-03-24,00642U,10.32,10.57,10.17,10.36,42796200,t-3,監視業務督導會報決議,5.0,2020-03-27,2020-04-13,-3.0,0.0,-3.0,,,,,,,,,0.003875968992248069
2020-03-25,00642U,10.55,10.59,10.44,10.46,39627340,t-2,監視業務督導會報決議,5.0,2020-03-27,2020-04-13,-2.0,0.0,-2.0,,,,,,,,,-0.008530805687203769
2020-03-26,00642U,10.44,10.46,10.11,10.33,25842235,t-1,監視業務督導會報決議,5.0,2020-03-27,2020-04-13,-1.0,0.0,-1.0,,,,,,,,,-0.010536398467432928
2020-03-27,00642U,10.24,10.24,10.1,10.17,20479766,t+0,監視業務督導會報決議,5.0,2020-03-27,2020-04-13,0.0,0.0,0.0,,,,,,,,,-0.0068359375
2020-03-30,00642U,9.88,9.88,9.65,9.79,33984332,t+1,監視業務督導會報決議,5.0,2020-03-27,2020-04-13,1.0,2.0,3.0,,,,,,,,,-0.009109311740890802
2020-04-06,00642U,10.5,10.5,9.88,10.23,57729592,t-1,監視業務督導會報決議,5.0,2020-04-07,2020-04-20,-1.0,6.0,-1.0,,,,,,,,,-0.02571428571428569
2020-04-07,00642U,10.16,10.23,10.07,10.14,45779898,t+0,監視業務督導會報決議,5.0,2020-04-07,2020-04-20,0.0,0.0,0.0,,,,,,,,,-0.0019685039370078705
2020-04-08,00642U,9.48,9.58,9.08,9.43,99047706,t+1,監視業務督導會報決議,5.0,2020-04-07,2020-04-20,1.0,0.0,1.0,,,,,,,,,-0.0052742616033756295
2020-04-09,00642U,9.55,9.95,9.55,9.85,38582502,t+2,監視業務督導會報決議,5.0,2020-04-07,2020-04-20,2.0,0.0,2.0,,,,,,,,,0.03141361256544495
2020-04-10,00642U,9.44,9.74,9.41,9.6,52245955,t+3,監視業務督導會報決議,5.0,2020-04-07,2020-04-20,3.0,0.0,3.0,,,,,,,,,0.016949152542372836
2020-04-13,00642U,8.5,9.33,7.49,8.26,535968307,t-1,監視業務督導會報決議,5.0,2020-04-14,2020-04-27,-1.0,2.0,-1.0,,,,,,,,,-0.028235294117647136
2020-04-14,00642U,8.24,8.7,8.15,8.67,180647523,t+0,監視業務督導會報決議,5.0,2020-04-14,2020-04-27,0.0,0.0,0.0,,,,,,,,,0.05218446601941751
2020-04-15,00642U,8.5,8.71,8.5,8.64,125776611,t+1,監視業務督導會報決議,5.0,2020-04-14,2020-04-27,1.0,0.0,1.0,,,,,,,,,0.016470588235294237
2020-04-16,00642U,8.43,8.54,8.43,8.5,91132926,t+2,監視業務督導會報決議,5.0,2020-04-14,2020-04-27,2.0,0.0,2.0,,,,,,,,,0.008303677342823335
2020-04-17,00642U,8.73,8.75,8.52,8.6,85083886,t+3,監視業務督導會報決議,5.0,2020-04-14,2020-04-27,3.0,0.0,3.0,,,,,,,,,-0.014891179839633506
2020-04-20,00642U,8.41,8.51,8.33,8.45,74780718,t-2,監視業務督導會報決議,5.0,2020-04-22,2020-05-06,-2.0,2.0,-2.0,,,,,,,,,0.0047562425683709275
2020-04-21,00642U,8.08,8.22,8.0,8.17,144813148,t-1,監視業務督導會報決議,5.0,2020-04-22,2020-05-06,-1.0,0.0,-1.0,,,,,,,,,0.011138613861386037
2020-04-22,00642U,7.55,7.66,7.44,7.44,160013536,t+0,監視業務督導會報決議,5.0,2020-04-22,2020-05-06,0.0,0.0,0.0,,,,,,,,,-0.014569536423840956
2020-04-23,00642U,7.78,8.05,7.78,8.04,76959319,t+1,監視業務督導會報決議,5.0,2020-04-22,2020-05-06,1.0,0.0,1.0,,,,,,,,,0.03341902313624656
2020-04-24,00642U,8.15,8.15,7.96,8.0,57925098,t+2,監視業務督導會報決議,5.0,2020-04-22,2020-05-06,2.0,0.0,2.0,,,,,,,,,-0.018404907975460127
2020-04-27,00642U,7.9,7.92,7.81,7.88,44596516,t-2,監視業務督導會報決議,5.0,2020-04-29,2020-05-13,-2.0,2.0,-2.0,,,,,,,,,-0.0025316455696202667
2020-04-28,00642U,7.75,7.78,7.71,7.75,44792534,t-1,監視業務督導會報決議,5.0,2020-04-29,2020-05-13,-1.0,0.0,-1.0,,,,,,,,,0.0
2020-04-29,00642U,7.9,8.04,7.9,8.03,44096141,t+0,監視業務督導會報決議,5.0,2020-04-29,2020-05-13,0.0,0.0,0.0,,,,,,,,,0.01645569620253151
2020-04-30,00642U,8.35,8.69,8.35,8.69,80454648,t+1,監視業務督導會報決議,5.0,2020-04-29,2020-05-13,1.0,0.0,1.0,,,,,,,,,0.04071856287425146
2020-05-04,00642U,8.6,8.63,8.34,8.56,60808290,t-3,監視業務督導會報決議,5.0,2020-05-07,2020-05-20,-3.0,3.0,-3.0,,,,,,,,,-0.0046511627906975495
2020-05-05,00642U,8.84,8.91,8.69,8.76,58496999,t-2,監視業務督導會報決議,5.0,2020-05-07,2020-05-20,-2.0,0.0,-2.0,,,,,,,,,-0.009049773755656076
2020-05-06,00642U,9.08,9.08,8.76,8.76,70852035,t-1,監視業務督導會報決議,5.0,2020-05-07,2020-05-20,-1.0,0.0,-1.0,,,,,,,,,-0.03524229074889873
2020-05-07,00642U,8.7,8.73,8.55,8.72,35668301,t+0,監視業務督導會報決議,5.0,2020-05-07,2020-05-20,0.0,0.0,0.0,,,,,,,,,0.0022988505747127963
2020-05-08,00642U,8.81,8.9,8.81,8.9,40849585,t+1,監視業務督導會報決議,5.0,2020-05-07,2020-05-20,1.0,0.0,1.0,,,,,,,,,0.010215664018161208
2020-05-11,00642U,9.05,9.5,9.01,9.47,67100177,t-3,監視業務督導會報決議,5.0,2020-05-14,2020-05-27,-3.0,2.0,-3.0,,,,,,,,,0.04640883977900545
2020-05-12,00642U,9.4,9.4,9.21,9.37,42212070,t-2,監視業務督導會報決議,5.0,2020-05-14,2020-05-27,-2.0,0.0,-2.0,,,,,,,,,-0.0031914893617022155
2020-05-13,00642U,9.34,9.55,9.34,9.48,46195212,t-1,監視業務督導會報決議,5.0,2020-05-14,2020-05-27,-1.0,0.0,-1.0,,,,,,,,,0.014989293361884481
2020-05-14,00642U,9.4,9.4,9.3,9.3,36028995,t+0,監視業務督導會報決議,5.0,2020-05-14,2020-05-27,0.0,0.0,0.0,,,,,,,,,-0.010638297872340385
2020-05-15,00642U,9.59,9.59,9.4,9.44,33789427,t+1,監視業務督導會報決議,5.0,2020-05-14,2020-05-27,1.0,0.0,1.0,,,,,,,,,-0.01564129301355588
2020-05-18,00642U,9.7,9.7,9.59,9.65,43801094,t-3,監視業務督導會報決議,5.0,2020-05-21,2020-06-03,-3.0,2.0,-3.0,,,,,,,,,-0.005154639175257603
2020-05-19,00642U,9.9,9.9,9.25,9.64,68135501,t-2,監視業務督導會報決議,5.0,2020-05-21,2020-06-03,-2.0,0.0,-2.0,,,,,,,,,-0.02626262626262621
2020-05-20,00642U,9.5,9.64,9.5,9.6,23380120,t-1,監視業務督導會報決議,5.0,2020-05-21,2020-06-03,-1.0,0.0,-1.0,,,,,,,,,0.010526315789473717
2020-05-21,00642U,9.75,9.75,9.62,9.64,29751550,t+0,監視業務督導會報決議,5.0,2020-05-21,2020-06-03,0.0,0.0,0.0,,,,,,,,,-0.011282051282051175
2020-05-22,00642U,9.55,9.6,9.35,9.4,41253640,t+1,監視業務督導會報決議,5.0,2020-05-21,2020-06-03,1.0,0.0,1.0,,,,,,,,,-0.015706806282722585
2020-05-25,00642U,9.4,9.4,9.29,9.32,23167868,t-3,監視業務督導會報決議,5.0,2020-05-28,2020-06-10,-3.0,2.0,-3.0,,,,,,,,,-0.008510638297872353
2020-05-26,00642U,9.35,9.45,9.35,9.37,22123534,t-2,監視業務督導會報決議,5.0,2020-05-28,2020-06-10,-2.0,0.0,-2.0,,,,,,,,,0.002139037433155133
2020-05-27,00642U,9.32,9.36,9.32,9.32,17342826,t-1,監視業務督導會報決議,5.0,2020-05-28,2020-06-10,-1.0,0.0,-1.0,,,,,,,,,0.0
2020-05-28,00642U,9.22,9.22,9.15,9.16,27940667,t+0,監視業務督導會報決議,5.0,2020-05-28,2020-06-10,0.0,0.0,0.0,,,,,,,,,-0.006507592190889477
2020-05-29,00642U,9.19,9.21,9.17,9.17,12458901,t+1,監視業務督導會報決議,5.0,2020-05-28,2020-06-10,1.0,0.0,1.0,,,,,,,,,-0.0021762785636560977
2020-06-01,00642U,9.3,9.3,9.17,9.17,19678023,t-3,監視業務督導會報決議,5.0,2020-06-04,2020-06-17,-3.0,2.0,-3.0,,,,,,,,,-0.013978494623655968
2020-06-02,00642U,9.18,9.18,9.09,9.09,23948927,t-2,監視業務督導會報決議,5.0,2020-06-04,2020-06-17,-2.0,0.0,-2.0,,,,,,,,,-0.009803921568627416
2020-06-03,00642U,9.16,9.45,9.16,9.39,27465522,t-1,監視業務督導會報決議,5.0,2020-06-04,2020-06-17,-1.0,0.0,-1.0,,,,,,,,,0.025109170305676942
2020-06-04,00642U,9.35,9.35,9.26,9.31,12661242,t+0,監視業務督導會報決議,5.0,2020-06-04,2020-06-17,0.0,0.0,0.0,,,,,,,,,-0.004278074866310044
2020-06-05,00642U,9.37,9.4,9.35,9.38,15012998,t+1,監視業務督導會報決議,5.0,2020-06-04,2020-06-17,1.0,0.0,1.0,,,,,,,,,0.0010672358591250486
2020-06-08,00642U,9.62,9.64,9.5,9.54,30325036,t-3,監視業務督導會報決議,5.0,2020-06-11,2020-06-24,-3.0,2.0,-3.0,,,,,,,,,-0.008316008316008316
2020-06-09,00642U,9.45,9.45,9.38,9.4,19243195,t-2,監視業務督導會報決議,5.0,2020-06-11,2020-06-24,-2.0,0.0,-2.0,,,,,,,,,-0.005291005291005124
2020-06-10,00642U,9.37,9.37,9.31,9.31,14046237,t-1,監視業務督導會報決議,5.0,2020-06-11,2020-06-24,-1.0,0.0,-1.0,,,,,,,,,-0.00640341515474907
2020-06-11,00642U,9.31,9.31,9.14,9.14,22595183,t+0,監視業務督導會報決議,5.0,2020-06-11,2020-06-24,0.0,0.0,0.0,,,,,,,,,-0.018259935553168627
2020-06-12,00642U,8.68,8.97,8.62,8.97,33044689,t+1,監視業務督導會報決議,5.0,2020-06-11,2020-06-24,1.0,0.0,1.0,,,,,,,,,0.03341013824884809
2020-06-15,00642U,8.9,8.9,8.82,8.84,21302900,t-3,監視業務督導會報決議,5.0,2020-06-18,2020-07-03,-3.0,2.0,-3.0,,,,,,,,,-0.006741573033707926
2020-06-16,00642U,8.93,9.08,8.9,9.03,21160504,t-2,監視業務督導會報決議,5.0,2020-06-18,2020-07-03,-2.0,0.0,-2.0,,,,,,,,,0.011198208286674172
2020-06-17,00642U,9.05,9.05,9.0,9.01,9131500,t-1,監視業務督導會報決議,5.0,2020-06-18,2020-07-03,-1.0,0.0,-1.0,,,,,,,,,-0.0044198895027625085
2020-06-18,00642U,8.98,8.98,8.94,8.97,8004270,t+0,監視業務督導會報決議,5.0,2020-06-18,2020-07-03,0.0,0.0,0.0,,,,,,,,,-0.00111358574610243
2020-06-19,00642U,9.02,9.02,8.99,8.99,10179349,t+1,監視業務督導會報決議,5.0,2020-06-18,2020-07-03,1.0,0.0,1.0,,,,,,,,,-0.003325942350332567
2020-03-16,00672L,3.95,4.31,3.75,4.03,493615256,t-1,監視業務督導會報決議,5.0,2020-03-17,2020-03-30,-1.0,0.0,-1.0,,,,,,,,,0.020253164556962133
2020-03-17,00672L,3.52,3.52,3.01,3.41,186178470,t+0,監視業務督導會報決議,5.0,2020-03-17,2020-03-30,0.0,0.0,0.0,,,,,,,,,-0.03125
2020-03-18,00672L,2.7,2.7,2.36,2.4,364271500,t+1,監視業務督導會報決議,5.0,2020-03-17,2020-03-30,1.0,0.0,1.0,,,,,,,,,-0.11111111111111116
2020-03-19,00672L,1.52,1.77,1.52,1.61,667921445,t+2,監視業務督導會報決議,5.0,2020-03-17,2020-03-30,2.0,0.0,2.0,,,,,,,,,0.0592105263157896
2020-03-20,00672L,3.0,3.0,2.35,2.98,502430686,t+3,監視業務督導會報決議,5.0,2020-03-17,2020-03-30,3.0,0.0,3.0,,,,,,,,,-0.00666666666666671
2020-03-23,00672L,2.23,2.67,2.19,2.57,182740749,t-3,監視業務督導會報決議,5.0,2020-03-26,2020-04-10,-3.0,2.0,-3.0,,,,,,,,,0.15246636771300448
2020-03-24,00672L,2.8,2.95,2.8,2.89,150278414,t-2,監視業務督導會報決議,5.0,2020-03-26,2020-04-10,-2.0,0.0,-2.0,,,,,,,,,0.03214285714285725
2020-03-25,00672L,3.05,3.18,3.04,3.18,168023649,t-1,監視業務督導會報決議,5.0,2020-03-26,2020-04-10,-1.0,0.0,-1.0,,,,,,,,,0.04262295081967227
2020-03-26,00672L,3.2,3.2,2.9,3.05,116154084,t+0,監視業務督導會報決議,5.0,2020-03-26,2020-04-10,0.0,0.0,0.0,,,,,,,,,-0.04687500000000011
2020-03-27,00672L,2.88,2.96,2.83,2.91,141611929,t+1,監視業務督導會報決議,5.0,2020-03-26,2020-04-10,1.0,0.0,1.0,,,,,,,,,0.01041666666666674
2020-04-06,00672L,3.5,3.5,3.2,3.45,178185494,t+0,監視業務督導會報決議,5.0,2020-04-06,2020-04-17,0.0,9.0,0.0,,,,,,,,,-0.014285714285714235
2020-04-07,00672L,3.52,4.2,3.52,4.2,174240350,t+1,監視業務督導會報決議,5.0,2020-04-06,2020-04-17,1.0,0.0,1.0,,,,,,,,,0.19318181818181812
2020-04-08,00672L,3.8,4.2,3.66,4.19,182287750,t+2,監視業務督導會報決議,5.0,2020-04-06,2020-04-17,2.0,0.0,2.0,,,,,,,,,0.10263157894736863
2020-04-09,00672L,4.6,4.73,4.5,4.64,193741882,t+3,監視業務督導會報決議,5.0,2020-04-06,2020-04-17,3.0,0.0,3.0,,,,,,,,,0.008695652173912993
2020-04-10,00672L,4.0,4.46,3.8,4.21,212742727,t-1,監視業務督導會報決議,5.0,2020-04-13,2020-04-24,-1.0,0.0,-3.0,,,,,,,,,0.05249999999999999
2020-04-13,00672L,4.56,4.6,3.95,4.08,190655629,t+0,監視業務督導會報決議,5.0,2020-04-13,2020-04-24,0.0,2.0,0.0,,,,,,,,,-0.10526315789473673
2020-04-14,00672L,3.95,3.95,3.73,3.92,160208674,t+1,監視業務督導會報決議,5.0,2020-04-13,2020-04-24,1.0,0.0,1.0,,,,,,,,,-0.0075949367088608
2020-04-15,00672L,3.5,3.72,3.5,3.51,168250246,t+2,監視業務督導會報決議,5.0,2020-04-13,2020-04-24,2.0,0.0,2.0,,,,,,,,,0.0028571428571428914
2020-04-16,00672L,3.35,3.35,3.0,3.11,162725879,t+3,監視業務督導會報決議,5.0,2020-04-13,2020-04-24,3.0,0.0,3.0,,,,,,,,,-0.07164179104477619
2020-04-17,00672L,3.96,3.98,3.6,3.82,179246610,t-1,監視業務督導會報決議,5.0,2020-04-20,2020-05-04,-1.0,0.0,-3.0,,,,,,,,,-0.03535353535353536
2020-04-20,00672L,3.55,3.76,3.3,3.68,119852649,t+0,監視業務督導會報決議,5.0,2020-04-20,2020-05-04,0.0,2.0,0.0,t-3,監視業務督導會報決議,20.0,2020-04-23,2020-05-07,-3.0,2.0,-3.0,0.03661971830985933
2020-04-21,00672L,3.16,3.6,3.16,3.55,139375820,t+1,監視業務督導會報決議,5.0,2020-04-20,2020-05-04,1.0,0.0,1.0,t-2,監視業務督導會報決議,20.0,2020-04-23,2020-05-07,-2.0,0.0,-2.0,0.12341772151898733
2020-04-22,00672L,2.69,2.76,2.0,2.06,390673010,t+2,監視業務督導會報決議,5.0,2020-04-20,2020-05-04,2.0,0.0,2.0,t-1,監視業務督導會報決議,20.0,2020-04-23,2020-05-07,-1.0,0.0,-1.0,-0.23420074349442377
2020-04-23,00672L,2.58,2.58,2.21,2.58,100172500,t+3,監視業務督導會報決議,5.0,2020-04-20,2020-05-04,3.0,0.0,3.0,t+0,監視業務督導會報決議,20.0,2020-04-23,2020-05-07,0.0,0.0,0.0,0.0
2020-04-24,00672L,2.78,2.78,2.52,2.59,67948327,t+4,監視業務督導會報決議,5.0,2020-04-20,2020-05-04,4.0,0.0,4.0,t+1,監視業務督導會報決議,20.0,2020-04-23,2020-05-07,1.0,0.0,1.0,-0.06834532374100721
2020-04-27,00672L,2.2,2.36,2.2,2.31,69312139,t+5,監視業務督導會報決議,5.0,2020-04-20,2020-05-04,5.0,2.0,7.0,t-3,監視業務督導會報決議,20.0,2020-04-30,2020-05-14,-3.0,2.0,-3.0,0.050000000000000044
2020-04-28,00672L,2.12,2.22,2.12,2.22,61510901,t+6,監視業務督導會報決議,5.0,2020-04-20,2020-05-04,6.0,0.0,8.0,t-2,監視業務督導會報決議,20.0,2020-04-30,2020-05-14,-2.0,0.0,-2.0,0.04716981132075482
2020-04-29,00672L,2.31,2.5,2.31,2.5,51574206,t+7,監視業務督導會報決議,5.0,2020-04-20,2020-05-04,7.0,0.0,9.0,t-1,監視業務督導會報決議,20.0,2020-04-30,2020-05-14,-1.0,0.0,-1.0,0.08225108225108224
2020-04-30,00672L,3.0,3.0,2.8,2.95,92829338,t+8,監視業務督導會報決議,5.0,2020-04-20,2020-05-04,8.0,0.0,10.0,t+0,監視業務督導會報決議,20.0,2020-04-30,2020-05-14,0.0,0.0,0.0,-0.016666666666666607
2020-05-05,00672L,3.2,3.2,3.06,3.1,56939770,t+9,監視業務督導會報決議,5.0,2020-04-20,2020-05-04,9.0,4.0,15.0,t-3,監視業務督導會報決議,20.0,2020-05-08,2020-05-21,-3.0,4.0,-3.0,-0.03125
2020-05-06,00672L,3.25,3.25,3.0,3.0,73569039,t+10,監視業務督導會報決議,5.0,2020-04-20,2020-05-04,10.0,0.0,16.0,t-2,監視業務督導會報決議,20.0,2020-05-08,2020-05-21,-2.0,0.0,-2.0,-0.07692307692307687
2020-05-07,00672L,2.86,2.9,2.8,2.87,54025999,t+11,監視業務督導會報決議,5.0,2020-04-20,2020-05-04,11.0,0.0,17.0,t-1,監視業務督導會報決議,20.0,2020-05-08,2020-05-21,-1.0,0.0,-1.0,0.0034965034965035446
2020-05-08,00672L,2.96,2.98,2.9,2.92,35454000,,,,,,,,,t+0,監視業務督導會報決議,20.0,2020-05-08,2020-05-21,0.0,0.0,0.0,-0.013513513513513487
2020-05-11,00672L,3.0,3.07,2.96,3.07,46665598,,,,,,,,,t+1,監視業務督導會報決議,20.0,2020-05-08,2020-05-21,1.0,2.0,3.0,0.023333333333333206
2020-05-12,00672L,2.99,3.07,2.99,3.03,23234499,,,,,,,,,t-3,監視業務督導會報決議,20.0,2020-05-15,2020-05-28,-3.0,0.0,-3.0,0.013377926421404451
2020-05-13,00672L,3.04,3.04,2.99,3.01,29548900,,,,,,,,,t-2,監視業務督導會報決議,20.0,2020-05-15,2020-05-28,-2.0,0.0,-2.0,-0.009868421052631637
2020-05-14,00672L,2.95,2.95,2.87,2.87,26550998,,,,,,,,,t-1,監視業務督導會報決議,20.0,2020-05-15,2020-05-28,-1.0,0.0,-1.0,-0.027118644067796627
