,futures_id,contract_date,monthly_group,Open,High,Low,Close,spread,spread_per,Volume,settlement_price,open_interest,trading_session,futures_id_a,contract_date_a,monthly_group_a,Open_a,High_a,Low_a,Close_a,spread_a,spread_per_a,Volume_a,settlement_price_a,open_interest_a,trading_session_a,daily_ret,cum_daily_ret,daily_pnl,cum_daily_pnl,daily_ret_a,cum_daily_ret_a,daily_pnl_a,cum_daily_pnl_a,Foreign_Opt_Signal,Dealer_Opt_Signal,Foreign_Opt_Signal_a,MOVE_open,MOVE_high,MOVE_low,MOVE_close,SOX_open,SOX_high,SOX_low,SOX_close,SOX_ind,MOVE_ind,MOVE_vol,3_ma,divergence,3_ma_v2,divergence_v2,gap,gap_v2,pos_night,pos_day,strat_ret,benchmark_ret,cum_strat,cum_bnh
2020-01-02,TX,202001,2020-01-15,12044.0,12120.0,12023.0,12102.0,108.0,0.9,100401.0,12101.0,87608.0,position,TX,202001,2020-01-15,11996.0,12024.0,11965.0,12024.0,30.0,0.25,22506.0,0.0,0.0,after_market,0.004815675855197599,0.004815675855197599,55.0,58.0,0.002334111370456915,0.002334111370456915,48.0,28.0,0.00796745935707897,-0.03199615301472178,,,,,,1836.18,1851.06,1835.29,1849.62,-0.006592589799798598,,,,,,,,,0.0,1.0,55.0,55.0,55.0,55.0
2020-01-03,TX,202001,2020-01-15,12180.0,12198.0,11996.0,12086.0,-15.0,-0.12,172660.0,12087.0,85123.0,position,TX,202001,2020-01-15,12099.0,12172.0,12093.0,12172.0,71.0,0.59,32214.0,0.0,0.0,after_market,-0.007717569786535261,-0.0029018939313376624,-88.0,-36.0,0.006033556492271996,0.008367667862728911,81.0,101.0,-0.00477186383705409,0.0067398526993423195,,57.2043,57.2043,57.2043,57.2043,1875.34,1888.14,1864.93,1887.91,0.00731954383557154,0.0,,,,,,0.005784167906131232,0.006445215666831983,0.0,1.0,-88.0,-88.0,-33.0,-33.0
2020-01-06,TX,202001,2020-01-15,12017.0,12034.0,11948.0,11950.0,-137.0,-1.13,118380.0,11949.0,86049.0,position,TX,202001,2020-01-15,12092.0,12094.0,12035.0,12043.0,-44.0,-0.36,36868.0,0.0,0.0,after_market,-0.005575434800698997,-0.00847732873203666,-79.0,-103.0,-0.004052265960965973,0.004315401901762939,-75.0,52.0,-0.048327170589490154,0.036950481592547366,,60.1223,60.1223,60.1223,60.1223,1850.82,1869.72,1848.65,1853.98,0.0067027845617329,0.0,0.0,12079.666666666666,-0.003035403846684437,12046.0,,-0.0035578355121628213,-0.00570908489161015,0.0,0.0,-0.0,-79.0,-33.0,-112.0
2020-01-07,TX,202001,2020-01-15,11995.0,12009.0,11816.0,11871.0,-78.0,-0.65,157264.0,11871.0,82993.0,position,TX,202001,2020-01-15,11938.0,11978.0,11901.0,11976.0,27.0,0.23,38896.0,0.0,0.0,after_market,-0.010337640683618199,-0.01881496941565486,-128.0,-227.0,0.003183112749204131,0.00749851465096707,57.0,90.0,0.0033944853026471474,-0.014727745491002177,,62.7943,62.7943,62.7943,62.7943,1825.59,1840.19,1821.86,1834.68,0.0017073513361645087,0.0,0.0,12063.666666666666,-0.007267000082893493,11969.0,-0.007969450439980097,0.0021757322175732785,0.003765690376569042,0.0,1.0,-128.0,-128.0,-161.0,-240.0
2020-01-08,TX,202001,2020-01-15,11728.0,11892.0,11697.0,11788.0,-83.0,-0.7,158971.0,11788.0,81175.0,position,TX,202001,2020-01-15,11867.0,11911.0,11845.0,11908.0,37.0,0.31,36974.0,0.0,0.0,after_market,0.005115961800818525,-0.013699007614836334,80.0,-167.0,0.0034549591303614235,0.010953473781328493,-139.0,131.0,0.010387243902127294,0.029832735271602205,,62.625,62.625,62.625,62.625,1852.73,1875.61,1845.5,1867.28,0.004979212199891725,0.0,0.0,11975.666666666666,-0.005650346536031359,11869.666666666666,-0.008187818531205648,0.0031168393564147134,-0.012046162918035508,0.0,1.0,80.0,80.0,-81.0,-160.0
2020-01-09,TX,202001,2020-01-15,11919.0,11998.0,11883.0,11968.0,180.0,1.53,115014.0,11969.0,80949.0,position,TX,202001,2020-01-15,11808.0,11920.0,11804.0,11898.0,110.0,0.93,42405.0,0.0,0.0,after_market,0.004111083144559213,-0.00958792447027712,51.0,-118.0,0.007621951219512146,0.01857542500084064,111.0,221.0,-0.0009387307275325924,0.040649393168837485,,60.4881,60.4881,60.4881,60.4881,1866.82,1878.96,1858.51,1867.59,0.00785327597653196,0.0,0.0,11927.333333333334,-0.0024593370968644113,11875.666666666666,-0.0068802830745036125,0.009331523583305135,0.011112996267390596,0.0,1.0,51.0,51.0,-30.0,-109.0
2020-01-10,TX,202001,2020-01-15,12005.0,12042.0,11953.0,12010.0,41.0,0.34,114171.0,12011.0,72684.0,position,TX,202001,2020-01-15,11970.0,12005.0,11940.0,11981.0,12.0,0.1,31526.0,0.0,0.0,after_market,0.0004164931278634043,-0.009171431342413716,10.0,-113.0,0.0009189640768587637,0.019494389077699403,35.0,232.0,-0.03994191016675078,-0.01841203943954333,,57.6626,57.6626,57.6626,57.6626,1887.19,1891.06,1860.56,1878.73,0.00041246611885448203,0.0,0.0,11929.0,0.0043591248218626255,11922.0,0.007775002105145035,0.0010862299465239644,0.0030915775401070267,0.0,1.0,10.0,10.0,-20.0,-99.0
2020-01-13,TX,202001,2020-01-15,12085.0,12121.0,12044.0,12117.0,106.0,0.88,142642.0,12116.0,58810.0,position,TX,202001,2020-01-15,12015.0,12037.0,11997.0,12013.0,2.0,0.02,19995.0,0.0,0.0,after_market,0.0026479106330161706,-0.006523520709397546,37.0,-81.0,-0.00016645859342490077,0.019327930484274503,70.0,230.0,0.013711748093071808,0.03544331561998385,,53.3163,53.3163,53.3163,53.3163,1886.79,1887.87,1862.13,1866.35,-0.004482855462354052,0.0,0.0,11964.0,0.004095620193915073,12031.666666666666,0.00738131186042601,0.00024979184013318445,0.0062447960033304994,0.0,1.0,37.0,37.0,17.0,-62.0
2020-01-14,TX,202001,2020-01-15,12176.0,12199.0,12148.0,12181.0,65.0,0.54,104397.0,12181.0,39121.0,position,TX,202001,2020-01-15,12122.0,12174.0,12114.0,12172.0,56.0,0.46,23051.0,0.0,0.0,after_market,0.0004106438896189779,-0.006112876819778568,-2.0,-76.0,0.004124731892426903,0.023452662376701405,54.0,280.0,0.03991539058302144,-0.012915659571749524,,53.2652,53.2652,53.2652,53.2652,1879.9,1892.38,1873.71,1890.79,-0.010833214083178389,0.0,0.0,12055.333333333334,0.00967759774373711,12102.666666666666,0.007092395068569068,0.004539077329371866,0.004869192044235415,0.0,1.0,-2.0,-2.0,15.0,-64.0
2020-01-15,TX,202001,2020-01-15,12159.0,12175.0,12058.0,12063.0,-118.0,-0.97,89882.0,0.0,25911.0,position,TX,202001,2020-01-15,12174.0,12197.0,12152.0,12175.0,-6.0,-0.05,23266.0,0.0,0.0,after_market,-0.007895386133728088,-0.014008262953506656,-92.0,-172.0,8.214227041225541e-05,0.02353480464711366,-15.0,281.0,0.013989824206482338,-0.042804151139687385,,52.3548,52.3548,52.3548,52.3548,1891.98,1909.14,1884.09,1894.64,0.005792861322410747,0.0,0.0,12120.0,0.004537953795379579,12120.333333333334,0.006472402776247721,-0.0004925703965191763,-0.0018060914539036466,0.0,0.0,-0.0,-92.0,15.0,-156.0
